DATE,PERSON,PLACE,ORGANIZATION,EVENT,MATERIAL
29.3.1990,Leontel Alves,Ulaangom,Carabins de l'Université de Montréal,une guerre civile,taxi
24/6/1996,Carlos Peter,Incheon,Parti unioniste,une célébration,valises
28-3-1989,Charles-Nicolas Lee,Acolman de Netzahualcóyotl,Université Quinnipiac,une exposition à des produits radioactifs,bijoux
6-1-2004,Jean-Eloi García,Madrid Centro,Force aérienne et de défense aérienne de la République de Biélorussie,le braquage d'une banque,médailles
15/4/1960,Amiel Leguerrec,Buguias,Appeal of Conscience Foundation,une arrestation,feuilles de papier
30-11-1990,Camillo Thompson,Morrow,Groupe Proximus,une épidémie,moto
2.8.1967,Kaoura Pérez,Lamas,Reichstag,le trafic d'artefacts,moto
5.1.1967,Krisley Chen,Bunde,Blackburn Olympic Football Club, l’épidémie de maladie à virus ebola,bicyclette
22 janvier 1963,Jack Tellier,Pati,Deportes Tolima,une parade militaire,véhicules
17/1/1991,Vidal Zhang,Olavarría,Berlitz,les élections présidentielles,smartphone
13.2.1972,Silva Da,Hallandale Beach,The Rocky Mountain Rangers,un vol de bijoux,blouson
18.2.1968,Anne-Laetitia Jones,Igrim,20 Fingers,une explosion d'un conteneur contenant des produits chimiques,boucharde
17-4-1977,Cyhan Parker,Pégomas,D'Yrsan,une vague de contestation,lampe torche
26 octobre 2010,Santos Dos,Matías Romero,Ansaldo A.1 Balilla,une grève générale,fleurs
16.4.1968,Rock Simporé,Dalmatovo,Royal Republic,le coup sur la tête,automobiles
21/3/1974,Jully Davis,Higuerote,Revell,un braquage,médicaments
29/11/2008,Ticiana Wright,Luynes,Braud,un festival,tablette
28.1.2010,Jack Tellier,Sorocaba,Monstre d'Aramberri,un coup d'état,colonne de direction
27/10/1970,Georgeline Thompson,Jalilabad,Bethlehem Steel,une parade militaire,voiture
25/2/1979,Arthur Fernández,Isehara,Züri West,la consommation de mélange de médicament et d'alcool,produits agricoles
